"sku","name","ingram_micro_usa","synnex","tech_data","manufacturer_pn_2","etilize_manufactureid","warehouse_errors"
"TT-TELEMENTS7BUNDLE","Total Training for Elements 7 Bundle","","","","TELEMENTS7BUNDLE","1020896",""
"TT-TEXCEL10ADV","Total Training for Excel 2010: Advanced","DN2870","","","TEXCEL10 ADV","1020896",""
"TT-TEXCEL2010","Total Training for Excel 2010: Essentials","","","","TEXCEL2010","1020896",""
"TT-TEXPWEB","Total Training for Expression Web","","","","TEXPWEB","1020896",""
"TT-TEXPWEB2","Total Training for Expression Web 2","","","","TEXPWEB2","1020896",""
"TT-TFIREWORKSCS5","Total Training for Fireworks CS5: Essentials","","","","TFIREWORKSCS5","1020896",""
"TT-TFLASH9","Total Training for Flash CS3: Essentials","","","","TFLASH9","1020896",""
"TT-TFLASHCS4","Total Training for Flash CS4: Essentials","","","","TFLASHCS4","1020896",""
"TT-TFLASHCS4ADV","Total Training for Flash CS4: Advanced","","","","TFLASHCS4ADV","1020896",""
"TT-TFLASHCS5","Total Training for Flash Professional CS5: Essentials","","","","TFLASHCS5","1020896",""
"TT-TFLCATCS55","Total Training for Flash Catalyst CS5.5: Essentials","","","","TFLCATCS55","1020896",""
"TT-TILLUSCS4","Total Training for Illustrator CS4: Essentials","","","","TILLUSCS4","1020896",""
"TT-TILLUSCS4ADV","Total Training for Illustrator CS4: Advanced","","","","TILLUSCS4ADV","1020896",""
"TT-TILLUSCS5","Total Training for Illustrator CS5: Essentials","","","","TILLUSCS5","1020896",""
"TT-TINDECS4","Total Training for InDesign CS4: Essentials","","","","TINDECS4","1020896",""
"TT-TINDECS4ADV","Total Training for InDesign CS4: Advanced","","","","TINDECS4ADV","1020896",""
"TT-TINDECS5","Total Training for InDesign CS5: Essentials","","","","TINDECS5","1020896",""
"TT-TMSEXPSTUDIO20","Total Training for Expression Studio 2","","","","TMSEXPSTUDIO20","1020896",""
"TT-TMSO2007","Total Training for Office 2007: Getting Up to Speed","","","","TMSO2007","1020896",""
"TT-TMSO2010","Total Training for Office 2010: Getting Up to Speed","","","","TMSO2010","1020896",""
"TT-TMSO2010NF","Total Training for Office 2010: New Features","","","","TMSO2010NF","1020896",""
"TT-TMSOL10","Total Training for Outlook 2010","DY2199","","","TMSOL10","1020896",""
"TT-TMSP2010","Total Training for PowerPoint 2010","","","","TMSP2010","1020896",""
"TT-TMSWORD2010","Total Training for Word 2010","KE9207","","","TMSWORD 2010","1020896",""
"TT-TMWIN7","Total Training for Windows 7","CV1671","","","TMWIN7","1020896",""
"TT-TPREE7","Total Training for Premiere Elements 7","","","","TPREE7","1020896",""
"TT-TPREPROCS4","Total Training for Premiere Pro CS4: Essentials","","","","TPREPROCS4","1020896",""
"TT-TPREPROCS5","Total Training for Premiere Pro CS5: Essentials","","","","TPREPROCS5","1020896",""
"TT-TPSCS4","Total Training for Photoshop CS4 Extended: Essentials","","","","TPSCS4","1020896",""
"TT-TPSCS5","Total Training for Photoshop CS5 Extended: Essentials","","","","TPSCS5","1020896",""
"TT-TPSCS5ADV","Total Training for Photoshop CS5 Extended: Advanced","","","","TPSCS5ADV","1020896",""
"TT-TPSE7","Total Training for Photoshop Elements 7","","","","TPSE7","1020896",""
"TT-TPSE8","Total Training for Photoshop Elements 8","","","","TPSE8","1020896",""
"TT-TQBK20092010","Mastering QuickBooks Pro 2010","","","","TQBK20092010","1020896","No Warehouse SKUs Available"
"TT-TQBKPRO2009","Mastering Intuit QuickBooks Pro 2009","CN6036","","","TQBKPRO2009","1020896",""
"TT-TVIS2008","Total Training for Visual Studio 2008","","","","TVIS2008","1020896",""
"TU-US123BM","TuneUp Utilities 2012 (Electronic Delivery)","","","","US123BM","1027259",""
